reason,counts,wave
other,126,wave 1
game,20,wave 1
school,94,wave 1
chatting,25,wave 1
death,23,wave 1
madarsa,28,wave 1
worship,21,wave 1
wedding,66,wave 1
shop,77,wave 1
work,75,wave 1
transport,25,wave 1
politics,42,wave 1
festival,5,wave 1
other,85,wave 2
game,26,wave 2
school,45,wave 2
chatting,28,wave 2
death,23,wave 2
madarsa,12,wave 2
worship,26,wave 2
wedding,49,wave 2
shop,70,wave 2
work,119,wave 2
transport,11,wave 2
politics,0,wave 2
festival,12,wave 2
other,58,wave 3
game,18,wave 3
school,28,wave 3
chatting,21,wave 3
death,21,wave 3
madarsa,15,wave 3
worship,19,wave 3
wedding,14,wave 3
shop,63,wave 3
work,164,wave 3
transport,8,wave 3
politics,0,wave 3
festival,11,wave 3
