cont_age,resp_age,count
70+,0-9,3.784365443425073
60-69,0-9,3.2322401774397957
50-59,0-9,3.6322261072261015
40-49,0-9,3.8685055865921782
30-39,0-9,8.02806299603175
20-29,0-9,9.88303400383145
10-19,0-9,13.621426823299078
0-9,0-9,28.72386114761279
70+,10-19,2.2752022653721697
60-69,10-19,3.420270961145192
50-59,10-19,3.0856598984771586
40-49,10-19,4.102932098765431
30-39,10-19,6.766351888667989
20-29,10-19,6.219706498951781
10-19,10-19,27.41070570570568
0-9,10-19,13.593522200132554
70+,20-29,2.135430839002268
60-69,20-29,2.728737541528236
50-59,20-29,2.959514170040485
40-49,20-29,4.624118831822759
30-39,20-29,7.590012406947888
20-29,20-29,12.741578947368437
10-19,20-29,8.67973145780051
0-9,20-29,13.192175018155416
70+,30-39,1.6870780590717305
60-69,30-39,2.3964940668824157
50-59,30-39,3.0329959514170004
40-49,30-39,5.460254491017968
30-39,30-39,9.732846573208713
20-29,30-39,8.250132625994695
10-19,30-39,9.47827380952381
0-9,30-39,12.684219858156029
70+,40-49,2.6101851851851854
60-69,40-49,2.9002475247524755
50-59,40-49,5.857645259938838
40-49,40-49,7.688377192982456
30-39,40-49,8.369675925925929
20-29,40-49,10.37644927536232
10-19,40-49,11.787309368191725
0-9,40-49,8.135301837270339
70+,50-59,2.4789583333333334
60-69,50-59,2.9949404761904765
50-59,50-59,6.620026881720432
40-49,50-59,6.8534946236559176
30-39,50-59,7.462615740740743
20-29,50-59,9.63074324324324
10-19,50-59,10.063636363636364
0-9,50-59,11.718599033816426
70+,60-69,3.051004016064257
60-69,60-69,5.481403940886698
50-59,60-69,6.6263528138528125
40-49,60-69,5.452551020408161
30-39,60-69,7.595987654320995
20-29,60-69,8.575613275613279
10-19,60-69,10.17449139280125
0-9,60-69,11.585192563081012
70+,70+,5.487648809523812
60-69,70+,4.9211864406779675
50-59,70+,6.012146892655367
40-49,70+,6.4770114942528725
30-39,70+,6.608176100628928
20-29,70+,9.602941176470583
10-19,70+,11.132003546099286
0-9,70+,9.571813725490196
