cont_age,resp_age,count
70+,0-9,1.4541284403669723
60-69,0-9,1.6482889733840305
50-59,0-9,1.7622377622377623
40-49,0-9,2.097765363128492
30-39,0-9,3.0029761904761907
20-29,0-9,3.6551724137931036
10-19,0-9,5.450807635829662
0-9,0-9,9.135348226018397
70+,10-19,1.300970873786408
60-69,10-19,1.6840490797546013
50-59,10-19,1.8324873096446697
40-49,10-19,2.3544973544973544
30-39,10-19,3.4135188866799204
20-29,10-19,4.0566037735849045
10-19,10-19,11.243243243243244
0-9,10-19,5.727634194831014
70+,20-29,1.5782312925170068
60-69,20-29,2.016611295681064
50-59,20-29,2.7611336032388665
40-49,20-29,4.211480362537764
30-39,20-29,6.511166253101737
20-29,20-29,9.503157894736844
10-19,20-29,5.936061381074167
0-9,20-29,4.7821350762527235
70+,30-39,1.5063291139240509
60-69,30-39,2.4466019417475726
50-59,30-39,3.0404858299595143
40-49,30-39,5.359281437125748
30-39,30-39,7.4766355140186915
20-29,30-39,7.984084880636605
10-19,30-39,5.744897959183674
0-9,30-39,4.673758865248226
70+,40-49,2.0138888888888893
60-69,40-49,3.1188118811881185
50-59,40-49,5.467889908256881
40-49,40-49,6.921052631578947
30-39,40-49,8.465277777777779
20-29,40-49,10.68840579710145
10-19,40-49,6.052287581699346
0-9,40-49,2.9527559055118107
70+,50-59,1.9
60-69,50-59,2.4642857142857144
50-59,50-59,5.064516129032258
40-49,50-59,6.225806451612903
30-39,50-59,7.847222222222222
20-29,50-59,10.635135135135137
10-19,50-59,8.393939393939394
0-9,50-59,6.246376811594202
70+,60-69,1.6506024096385543
60-69,60-69,2.4729064039408866
50-59,60-69,3.8571428571428568
40-49,60-69,4.122448979591836
30-39,60-69,5.40329218106996
20-29,60-69,5.142857142857143
10-19,60-69,4.450704225352113
0-9,60-69,4.223107569721115
70+,70+,2.0892857142857144
60-69,70+,2.542372881355932
50-59,70+,3.2881355932203387
40-49,70+,3.8735632183908053
30-39,70+,3.7735849056603774
20-29,70+,4.576470588235294
10-19,70+,4.670212765957447
0-9,70+,3.5392156862745097
