cont_age,resp_age,count
70+,0-9,0.623859176949113
60-69,0-9,1.3857890822001229
50-59,0-9,0.6035705543943335
40-49,0-9,0.4725653872918241
30-39,0-9,1.0263651368109477
20-29,0-9,0.7492886635236641
10-19,0-9,0.9084517594752451
0-9,0-9,1.5533200410798182
70+,10-19,0.6385468353685361
60-69,10-19,1.139147534387375
50-59,10-19,0.6152444871731406
40-49,10-19,0.7079101377991244
30-39,10-19,1.115116332371853
20-29,10-19,0.8166021991209741
10-19,10-19,1.2427261601495474
0-9,10-19,1.0605449809000616
70+,20-29,0.5376804985543968
60-69,20-29,1.1092755489271104
50-59,20-29,0.7713823611569072
40-49,20-29,0.9572072498980164
30-39,20-29,1.3587623813472882
20-29,20-29,1.3585462861742446
10-19,20-29,0.7119372511776716
0-9,20-29,0.8983436355983375
70+,30-39,0.5295562364518324
60-69,30-39,1.1397197873254383
50-59,30-39,0.9285164550121924
40-49,30-39,1.233149830537055
30-39,30-39,1.5969434748266114
20-29,30-39,1.0778175486429438
10-19,30-39,0.756102530427557
0-9,30-39,0.7941760935149526
70+,40-49,0.5972746596488511
60-69,40-49,1.048186619643481
50-59,40-49,1.42839858554749
40-49,40-49,1.7372194603487483
30-39,40-49,1.4545506519725109
20-29,40-49,1.1406459671147948
10-19,40-49,0.7101299283516681
0-9,40-49,0.5627317355711555
70+,50-59,0.6127429072143424
60-69,50-59,0.911979386000912
50-59,50-59,1.857284479033784
40-49,50-59,1.4533607031517968
30-39,50-59,1.3388389584408151
20-29,50-59,1.0523206102293166
10-19,50-59,0.6887927295061193
0-9,50-59,0.7747297219722207
70+,60-69,0.5593144682767321
60-69,60-69,1.4378472905873765
50-59,60-69,1.322108920459402
40-49,60-69,1.1678324743722748
30-39,60-69,1.4539294482310257
20-29,60-69,0.9901435821597347
10-19,60-69,0.7023161110597403
0-9,60-69,0.8897146065315327
70+,70+,1.125141418376856
60-69,70+,2.211415628068622
50-59,70+,1.733866301249566
40-49,70+,1.0861809522722337
30-39,70+,1.2434987681123366
20-29,70+,0.9098463027993386
10-19,70+,0.8052166253076378
0-9,70+,0.7125609109892836
